photo_no,photo,name,place,water,size,formaldehyde,carbonDioxide,negativeIon,relativeHumidity
34,https://mblogthumb-phinf.pstatic.net/MjAxNzA1MjZfMTg3/MDAxNDk1NzYxMjExNTY2.09VTxJBWkpY2Oa9AKeVUwU5bdv33UqCCAdIajBgSXmgg.iFN6ufoGtWP1fYSA1n9TUl0WCK61toiD_j7vKnnQFnMg.JPEG.mathy7/%ED%96%89%EC%9A%B4%EB%AA%A9.jpg?type=w800,행운목,거실,적게,대,0.34, - ,382,30.4
35,https://www.ozflower.co.kr/data/item/thumb-1340690361l0_700x700.jpg,관음죽,화장실,자주,"대, 중",3.34, - ,403,4.8
36,"https://picturethisai.com/image-handle/website_cmsname/image/1080/352288224244629504.jpeg?x-oss-process=image/format,webp/quality,q_60&v=1.0",털머위,공부방,보통,소,11.3,79.1,397,31.4
37,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmPocSi39q0aruKzVsLTTTF1dMG75b3sCobw&usqp=CAU,자금우,공부방,가끔,소,27.8,54.7,501,14.2
38,https://www.esac.kr/shopimages/esac/mobile/3/114363_represent?1653298913,산호수,공부방,보통,소,0.86,59.2,407,19.3
39,https://www.simpol.co.kr/data/shopimages/product/302418470/201712/013000000000031332.jpg,만병초,"거실, 베란다",자주,중,41.8,9.3,537,26.9
40,https://shop2.daumcdn.net/thumb/R500x500/?fname=http%3A%2F%2Fshop2.daumcdn.net%2Fshophow%2Fp%2FC5111956399.jpg%3Fut%3D20220616205006,마삭줄,공부방,보통,중,2.06, - ,473,36.6
41,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgTl5lOBpCB8wy2p9FXsTD_tHRGue4cuvFHQ&usqp=CAU,남천,"거실, 베란다",가끔,"중, 소",3.16, - , - , - 
42,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRY8lL13eeg6bn0fhBsOnIcCN-Lvd9qHWjiJA&usqp=CAU,틸란드시아,거실,가끔,소,2.46, - , - , - 
43,https://www.aptn.co.kr/news/photo/201509/30261-1-5167.gif,클로로피텀,"거실, 주방",보통,소,2.5, - ,33,22.9
44,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbWg56aLW8JKKTIj1DuPraGM-C0g5tQJtGVw&usqp=CAU,칼라데아마코야나,공부방,보통,중,0.58, - ,806,7
45,https://www.costco.co.kr/medias/sys_master/images/h1f/hac/64679361740830.jpg,아글라오네마,공부방,보통,소,1.56, - ,391,17.8
46,https://gdimg.gmarket.co.kr/2550868635/still/280?ver=1661146317,싱고니움,"거실, 주방, 화장실",보통,소,2.12, - ,255,24
47,https://www.ozflower.co.kr/data/item/thumb-1340688714l0_700x700.jpg,스파티필럼,"현관, 모든 장소",가끔,중,0.74, - ,426, - 
48,https://raraaqua.com/web/product/big/202307/8e93d776f57342030df6849fa9262ba1.png,스킨답서스,주방,보통,소,0.88,99,507,7.2
49,https://thumbnail.10x10.co.kr/webimage/image/add1/276/A002764939_01.jpg?cmd=thumb&w=400&h=400&fit=true&ws=false,세이브릿지야자,,자주,대, - , - , - , - 
50,https://contents.sixshop.com/uploadedFiles/20883/product/image_1668131843026.jpeg,피닉스야자,거실,보통,대, - , - , - , - 
51,https://cdn.011st.com/11dims/resize/600x600/quality/75/11src/product/5196644523/B.jpg?355000000,아펠란드라,주방,가끔,중, - , - , - , - 
